Trial	Voltage	Current	Peak Angle	Peak Intensity
1	10	0.638	22.85917	0.72023
2	10	0.639	23.15926	0.39002
3	10	0.637	22.79708	0.88014
4	10	0.637	22.66255	0.66014
5	10	0.639	22.76603	0.58152
1	8	0.56	22.72464	0.58018
2	8	0.56	23.05578	0.50243
3	8	0.558	23.211	0.33977
4	8	0.562	22.96265	0.3506
5	8	0.561	22.80742	0.19585
1	6	0.478	22.83847	0.16653
2	6	0.476	22.66255	0.28598
3	6	0.475	23.02474	0.19187
4	6	0.481	23.32483	0.13352
5	6	0.478	23.27309	0.14294
1	4	0.377	22.82812	1.00086
2	4	0.379	23.20066	1.05837
3	4	0.38	23.56284	1.15447
4	4	0.375	23.41797	0.98559
5	4	0.379	23.03508	0.94359
