Trial	Voltage	Current	Area	Lower Bound	Upper Bound	Peak angle	Peak intensity 	Tare
1	4	0.378	5.0731	13.8219	29.11982	23.59389	1.19364	100
2	4	0.376	4.988	14.0425	28.99565	23.32483	1.19665	100
3	4	0.377	5.6505	14.0838	29.11982	22.96265	0.92401	100
1	4.5	0.403	5.7381	14.11494	29.09913	23.39727	1.12545	100
2	4.5	0.404	5.5934	14.10459	28.9646	22.79708	1.3017	100
3	4.5	0.401	3.589	13.99076	29.06808	23.28344	0.81499	100
1	5	0.428	0.6815	14.0425	29.03704	22.98334	0.16085	10
2	5	0.43	0.7143	14.02181	28.9853	22.9215	0.19877	10
3	5	0.428	0.6555	13.98041	28.9646	23.19031	0.13544	10
1	6	0.477	0.8291	14.16668	28.93356	23.17996	0.17816	10
2	6	0.474	0.8671	14.10459	29.02669	22.69359	0.20901	10
3	6	0.476	0.6913	13.97006	29.04739	21.92783	0.19887	10
1	7	0.517	0.9046	13.97006	29.08878	23.19031	0.23059	10
2	7	0.519	1.024	14.08389	29.19226	23.33518	0.22478	10
3	7	0.519	0.8167	14.11494	29.04739	23.58354	0.15285	10
1	7.5	0.541	0.9234	14.0632	29.02669	23.01439	0.24759	10
2	7.5	0.541	1.741	14.00111	29.04739	22.78673	0.49963	10
3	7.5	0.542	0.9379	13.97006	28.9853	22.70394	0.2675	10
1	8	0.564	1.1896	13.99076	28.93356	22.68325	0.34751	10
2	8	0.563	1.699	14.045	28.93356	22.56942	0.44163	10
3	8	0.564	1.9635	13.92867	29.03704	22.81777	0.5601	10
1	9	0.602	2.2325	14.05285	29.02669	22.17618	0.63181	10
2	9	0.601	2.2972	14.062	28.91286	22.47628	0.63295	10
3	9	0.598	2.82	14.11494	29.01634	22.52802	0.87694	10
1	9.5	0.62	2.5418	13.97006	28.9853	22.21758	0.72515	10
2	9.5	0.622	2.9111	13.93902	28.99565	22.10375	0.86454	10
3	9.5	0.62	2.3792	14.08389	29.08878	22.6729	0.58051	10
1	10	0.638	2.2338	14.22877	29.01634	22.41419	0.60427	10
2	10	0.637	2.6313	13.97006	29.02669	22.45559	0.80224	10
3	10	0.639	2.5599	13.99076	29.11982	22.25897	0.78665	10
