I,V,LS,RS,Disp,,,,Phone Disrupt ->,I,V,LS,RS,Disp
0.847,200.8,5.4,5.1,132.1,,,,,1.501,301.6,3.6,4.5,112.7
0.847,151.7,4,5,,,,,,1.501,251.2,2.8,4.5,
0.847,250.9,5.4,5.2,,,,,,1.501,199.9,1.9,4.5,
0.847,300,5.4,5.1,,,,,,1.501,160.9,1.3,4.5,
0.999,299.8,6,4.9,131.3,,,,,1.501,149,0.6,4.5,
0.999,249.9,6,4.5,,,,,,1.501,140.8,0.4,4.5,
0.999,199.5,5,4.5,,,,,,1.501,121.8,0.2,4.5,
0.999,160.1,3.5,5,,,,,,,,,,
0.999,150.6,3.2,5,,,,,,,,,,
0.999,139.6,2.5,5,,,,,,,,,,
1.248,300.1,4.4,4.9,112.5,,,,,,,,,
1.248,250.4,3.4,4.9,,,,,,,,,,
1.248,200.3,2.6,4.9,,,,,,,,,,
1.248,160.4,2,4.9,,,,,,,,,,
1.248,150.3,1.7,4.9,,,,,,,,,,
1.248,140,1.4,4.9,,,,,,,,,,
1.248,121.9,0.5,4.9,,,,,,,,,,
1.503,300.3,3.5,4.5,106.2,,,,,,,,,
1.503,250.6,2.9,4.5,,,,,,,,,,
1.503,200.1,2,4.5,,,,,,,,,,
1.503,160.3,1.4,4.5,,,,,,,,,,
1.503,150.3,1.1,4.5,,,,,,,,,,
1.503,140.4,0.8,4.5,,,,,,,,,,
1.503,120.6,0.1,4.5,,,,,,,,,,
1.777,300.7,1.9,4.9,96.3,,,,,,,,,
1.777,249.3,1.2,4.9,,,,,,,,,,
1.777,225.2,0.8,4.9,,,,,,,,,,
1.777,201.4,0.5,4.9,,,,,,,,,,
1.777,176.4,0.1,4.9,,,,,,,,,,
1.777,149.8,-0.3,4.9,,,,,,,,,,
1.777,124.6,-0.8,4.9,,,,,,,,,,
1.777,110.9,-1.3,4.9,,,,,,,,,,
1.777,100.5,-1.6,4.9,,,,,,,,,,
1.948,300,1.2,5,95.3,,,,,,,,,
1.948,276,0.9,5,,,,,,,,,,
1.948,251.5,0.3,5,,,,,,,,,,
1.948,226.2,0.1,5,,,,,,,,,,
1.948,201,0,5,,,,,,,,,,
1.948,175.9,-1.1,6,,,,,,,,,,
1.948,151.2,-1,5.5,,,,,,,,,,
1.948,126.8,-1,4.9,,,,,,,,,,
